ticker,cusip,name,exchange,security_type
ARGX,,,NASDAQ,Common Stock
INCY,,,NASDAQ,Common Stock
JAZZ,,,NASDAQ,Common Stock
IONS,,,NASDAQ,Common Stock
BBIO,,,NASDAQ,Common Stock
GOSS,,,NASDAQ,Common Stock
RNA,,,NASDAQ,Common Stock
KYMR,,,NASDAQ,Common Stock
RYTM,,,NASDAQ,Common Stock
EPRX,,,NASDAQ,Common Stock
ACAD,,,NASDAQ,Common Stock
ALNY,,,NASDAQ,Common Stock
BMRN,,,NASDAQ,Common Stock
CRSP,,,NASDAQ,Common Stock
VRTX,,,NASDAQ,Common Stock
SRPT,,,NASDAQ,Common Stock
UTHR,,,NASDAQ,Common Stock
EXEL,,,NASDAQ,Common Stock
RARE,,,NASDAQ,Common Stock
FOLD,,,NASDAQ,Common Stock
AMGN,,Amgen Inc.,NASDAQ,Common Stock
GILD,,"Gilead Sciences, Inc.",NASDAQ,Common Stock
BIIB,,Biogen Inc.,NASDAQ,Common Stock
MRNA,,"Moderna, Inc.",NASDAQ,Common Stock
BNTX,,BioNTech SE,NASDAQ,Common Stock
LGND,,Ligand Pharmaceuticals Incorporated,NASDAQ,Common Stock
TECH,,Bio-Techne Corporation,NASDAQ,Common Stock
RGEN,,Repligen Corporation,NASDAQ,Common Stock
ROIV,,Roivant Sciences Ltd.,NASDAQ,Common Stock
NTRA,,"Natera, Inc.",NASDAQ,Common Stock
DAWN,,"Day One Biopharmaceuticals, Inc.",NASDAQ,Common Stock
PCVX,,"Vaxcyte, Inc.",NASDAQ,Common Stock
ARVN,,"Arvinas, Inc.",NASDAQ,Common Stock
LEGN,,Legend Biotech Corporation,NASDAQ,Common Stock
FATE,,"Fate Therapeutics, Inc.",NASDAQ,Common Stock
NTLA,,"Intellia Therapeutics, Inc.",NASDAQ,Common Stock
EDIT,,"Editas Medicine, Inc.",NASDAQ,Common Stock
BEAM,,Beam Therapeutics Inc.,NASDAQ,Common Stock
VCYT,,"Veracyte, Inc.",NASDAQ,Common Stock
AXSM,,"Axsome Therapeutics, Inc.",NASDAQ,Common Stock
PTGX,,"Protagonist Therapeutics, Inc.",NASDAQ,Common Stock
CDNA,,"CareDx, Inc.",NASDAQ,Common Stock
PRVA,,"Privia Health Group, Inc.",NASDAQ,Common Stock
AGIO,,"Agios Pharmaceuticals, Inc.",NASDAQ,Common Stock
AKRO,,"Akero Therapeutics, Inc.",NASDAQ,Common Stock
ALLO,,"Allogene Therapeutics, Inc.",NASDAQ,Common Stock
APLS,,"Apellis Pharmaceuticals, Inc.",NASDAQ,Common Stock
ARCT,,Arcturus Therapeutics Holdings Inc.,NASDAQ,Common Stock
ARWR,,"Arrowhead Pharmaceuticals, Inc.",NASDAQ,Common Stock
AVTR,,"Avantor, Inc.",NASDAQ,Common Stock
BCRX,,"BioCryst Pharmaceuticals, Inc.",NASDAQ,Common Stock
BDTX,,"Black Diamond Therapeutics, Inc.",NASDAQ,Common Stock
BGXX,,Bright Green Corporation,NASDAQ,Common Stock
CRBU,,"Caribou Biosciences, Inc.",NASDAQ,Common Stock
CRNX,,"Crinetics Pharmaceuticals, Inc.",NASDAQ,Common Stock
CRVS,,"Corvus Pharmaceuticals, Inc.",NASDAQ,Common Stock
CVAC,,CureVac N.V.,NASDAQ,Common Stock
CLDX,,"Celldex Therapeutics, Inc.",NASDAQ,Common Stock
CYTK,,"Cytokinetics, Incorporated",NASDAQ,Common Stock
DNLI,,Denali Therapeutics Inc.,NASDAQ,Common Stock
DRMA,,"Dermata Therapeutics, Inc.",NASDAQ,Common Stock
DVAX,,Dynavax Technologies Corporation,NASDAQ,Common Stock
FGEN,,"FibroGen, Inc.",NASDAQ,Common Stock
FULC,,"Fulcrum Therapeutics, Inc.",NASDAQ,Common Stock
GLPG,,Galapagos NV,NASDAQ,Common Stock
HALO,,"Halozyme Therapeutics, Inc.",NASDAQ,Common Stock
HRTX,,"Heron Therapeutics, Inc.",NASDAQ,Common Stock
IMCR,,Immunocore Holdings plc,NASDAQ,Common Stock
IMMP,,Immutep Limited,NASDAQ,Common Stock
IMVT,,"Immunovant, Inc.",NASDAQ,Common Stock
IRWD,,"Ironwood Pharmaceuticals, Inc.",NASDAQ,Common Stock
KALA,,"KALA BIO, Inc.",NASDAQ,Common Stock
KALV,,"KalVista Pharmaceuticals, Inc.",NASDAQ,Common Stock
KRYS,,"Krystal Biotech, Inc.",NASDAQ,Common Stock
LQDA,,Liquidia Corporation,NASDAQ,Common Stock
MCRB,,"Seres Therapeutics, Inc.",NASDAQ,Common Stock
MDGL,,"Madrigal Pharmaceuticals, Inc.",NASDAQ,Common Stock
MRSN,,"Mersana Therapeutics, Inc.",NASDAQ,Common Stock
MRVI,,"Maravai LifeSciences Holdings, Inc.",NASDAQ,Common Stock
NVCR,,NovoCure Limited,NASDAQ,Common Stock
NVAX,,"Novavax, Inc.",NASDAQ,Common Stock
OCGN,,"Ocugen, Inc.",NASDAQ,Common Stock
OPCH,,"Option Care Health, Inc.",NASDAQ,Common Stock
PCRX,,"Pacira BioSciences, Inc.",NASDAQ,Common Stock
PGEN,,"Precigen, Inc.",NASDAQ,Common Stock
PRTA,,Prothena Corporation plc,NASDAQ,Common Stock
PTCT,,"PTC Therapeutics, Inc.",NASDAQ,Common Stock
RVMD,,"Revolution Medicines, Inc.",NASDAQ,Common Stock
RXRX,,"Recursion Pharmaceuticals, Inc.",NASDAQ,Common Stock
RGNX,,REGENXBIO Inc.,NASDAQ,Common Stock
SANA,,"Sana Biotechnology, Inc.",NASDAQ,Common Stock
SGMO,,"Sangamo Therapeutics, Inc.",NASDAQ,Common Stock
SNDX,,"Syndax Pharmaceuticals, Inc.",NASDAQ,Common Stock
SPRY,,"ARS Pharmaceuticals, Inc.",NASDAQ,Common Stock
TARS,,"Tarsus Pharmaceuticals, Inc.",NASDAQ,Common Stock
TBPH,,"Theravance Biopharma, Inc.",NASDAQ,Common Stock
TGTX,,"TG Therapeutics, Inc.",NASDAQ,Common Stock
AARD,,AARD,NASDAQ,Common Stock
ABCL,,ABCL,NASDAQ,Common Stock
ABSI,,ABSI,NASDAQ,Common Stock
ABUS,,ABUS,NASDAQ,Common Stock
ABVX,,ABVX,NASDAQ,Common Stock
ACIU,,ACIU,NASDAQ,Common Stock
ACLX,,ACLX,NASDAQ,Common Stock
ACRS,,ACRS,NASDAQ,Common Stock
ADCT,,ADCT,NASDAQ,Common Stock
ADMA,,ADMA,NASDAQ,Common Stock
ADPT,,ADPT,NASDAQ,Common Stock
ADRO,,ADRO,NASDAQ,Common Stock
AKE,,AKE,NASDAQ,Common Stock
ALKS,,ALKS,NASDAQ,Common Stock
ALMS,,ALMS,NASDAQ,Common Stock
ALT,,ALT,NASDAQ,Common Stock
ALVO,,ALVO,NASDAQ,Common Stock
AMLX,,AMLX,NASDAQ,Common Stock
ANAB,,ANAB,NASDAQ,Common Stock
ANNX,,ANNX,NASDAQ,Common Stock
ANRO,,ANRO,NASDAQ,Common Stock
APGE,,APGE,NASDAQ,Common Stock
ARQT,,ARQT,NASDAQ,Common Stock
ASND,,ASND,NASDAQ,Common Stock
ATAI,,ATAI,NASDAQ,Common Stock
ATXS,,ATXS,NASDAQ,Common Stock
AUPH,,AUPH,NASDAQ,Common Stock
AURA,,AURA,NASDAQ,Common Stock
AUTL,,AUTL,NASDAQ,Common Stock
AVBP,,AVBP,NASDAQ,Common Stock
AVIR,,AVIR,NASDAQ,Common Stock
AVXL,,AVXL,NASDAQ,Common Stock
BBOT,,BBOT,NASDAQ,Common Stock
BCAX,,BCAX,NASDAQ,Common Stock
BCYC,,BCYC,NASDAQ,Common Stock
BHVN,,BHVN,NASDAQ,Common Stock
BIOA,,BIOA,NASDAQ,Common Stock
BRKR,,BRKR,NASDAQ,Common Stock
CABA,,CABA,NASDAQ,Common Stock
CADL,,CADL,NASDAQ,Common Stock
CAI,,CAI,NASDAQ,Common Stock
CATX,,CATX,NASDAQ,Common Stock
CCCC,,CCCC,NASDAQ,Common Stock
CDXS,,CDXS,NASDAQ,Common Stock
CGEM,,CGEM,NASDAQ,Common Stock
CGON,,CGON,NASDAQ,Common Stock
CLLS,,CLLS,NASDAQ,Common Stock
CMPS,,CMPS,NASDAQ,Common Stock
CNTA,,CNTA,NASDAQ,Common Stock
COGT,,COGT,NASDAQ,Common Stock
CRGX,,CRGX,NASDAQ,Common Stock
CRL,,CRL,NASDAQ,Common Stock
CSTL,,CSTL,NASDAQ,Common Stock
CTKB,,CTKB,NASDAQ,Common Stock
CTMX,,CTMX,NASDAQ,Common Stock
CTNM,,CTNM,NASDAQ,Common Stock
DNA,,DNA,NASDAQ,Common Stock
DSGN,,DSGN,NASDAQ,Common Stock
DYN,,DYN,NASDAQ,Common Stock
EBS,,EBS,NASDAQ,Common Stock
ELVN,,ELVN,NASDAQ,Common Stock
ENTA,,ENTA,NASDAQ,Common Stock
ERAS,,ERAS,NASDAQ,Common Stock
EWTX,,EWTX,NASDAQ,Common Stock
FDMT,,FDMT,NASDAQ,Common Stock
FHTX,,FHTX,NASDAQ,Common Stock
FLGT,,FLGT,NASDAQ,Common Stock
FTRE,,FTRE,NASDAQ,Common Stock
GERN,,GERN,NASDAQ,Common Stock
