date,ticker,adj_close
2020-01-02,AMGN,249.51
2020-01-02,GILD,74.77
2020-01-02,VRTX,349.43
2020-01-02,REGN,761.88
2020-01-02,BIIB,279.05
2020-01-02,ALNY,172.60
2020-01-02,BMRN,90.78
2020-01-02,SGEN,149.19
2020-01-02,INCY,69.56
2020-01-02,EXEL,20.09
2020-01-02,MRNA,121.21
2020-01-02,BNTX,105.76
2020-01-02,IONS,40.94
2020-01-02,SRPT,120.65
2020-01-02,RARE,33.88
2020-01-02,BLUE,4.69
2020-01-02,FOLD,15.16
2020-01-02,ACAD,18.83
2020-01-02,HALO,45.11
2020-01-02,KRTX,54.81
2020-01-02,IMVT,25.70
2020-01-02,ARWR,28.06
2020-01-02,PCVX,79.16
2020-01-02,BEAM,35.92
2020-01-02,EDIT,12.62
2020-01-03,AMGN,248.66
2020-01-03,GILD,75.29
2020-01-03,VRTX,351.37
2020-01-03,REGN,775.30
2020-01-03,BIIB,271.23
2020-01-03,ALNY,175.48
2020-01-03,BMRN,87.37
2020-01-03,SGEN,140.66
2020-01-03,INCY,68.31
2020-01-03,EXEL,19.46
2020-01-03,MRNA,125.94
2020-01-03,BNTX,109.21
2020-01-03,IONS,39.20
2020-01-03,SRPT,124.86
2020-01-03,RARE,32.39
2020-01-03,BLUE,4.66
2020-01-03,FOLD,14.99
2020-01-03,ACAD,18.91
2020-01-03,HALO,46.55
2020-01-03,KRTX,56.33
2020-01-03,IMVT,26.18
2020-01-03,ARWR,28.90
2020-01-03,PCVX,80.53
2020-01-03,BEAM,34.65
2020-01-03,EDIT,12.06
2020-01-06,AMGN,246.95
2020-01-06,GILD,75.97
2020-01-06,VRTX,349.82
2020-01-06,REGN,815.44
2020-01-06,BIIB,265.62
2020-01-06,ALNY,170.22
2020-01-06,BMRN,89.07
2020-01-06,SGEN,145.13
2020-01-06,INCY,69.36
2020-01-06,EXEL,20.04
2020-01-06,MRNA,133.97
2020-01-06,BNTX,108.63
2020-01-06,IONS,37.27
2020-01-06,SRPT,122.33
2020-01-06,RARE,33.82
2020-01-06,BLUE,4.25
2020-01-06,FOLD,15.02
2020-01-06,ACAD,19.09
2020-01-06,HALO,46.02
2020-01-06,KRTX,58.10
2020-01-06,IMVT,26.98
2020-01-06,ARWR,31.94
2020-01-06,PCVX,82.31
2020-01-06,BEAM,33.46
2020-01-06,EDIT,11.64
2020-01-07,AMGN,243.92
2020-01-07,GILD,77.28
2020-01-07,VRTX,346.07
2020-01-07,REGN,814.51
2020-01-07,BIIB,270.54
2020-01-07,ALNY,166.91
2020-01-07,BMRN,88.45
2020-01-07,SGEN,139.32
2020-01-07,INCY,67.12
2020-01-07,EXEL,19.66
2020-01-07,MRNA,136.42
2020-01-07,BNTX,115.05
2020-01-07,IONS,37.26
2020-01-07,SRPT,123.73
2020-01-07,RARE,34.11
2020-01-07,BLUE,4.51
2020-01-07,FOLD,15.56
2020-01-07,ACAD,19.28
2020-01-07,HALO,44.29
2020-01-07,KRTX,60.36
2020-01-07,IMVT,27.53
2020-01-07,ARWR,33.73
2020-01-07,PCVX,82.27
2020-01-07,BEAM,37.03
2020-01-07,EDIT,11.38
2020-01-08,AMGN,249.80
2020-01-08,GILD,77.44
2020-01-08,VRTX,342.70
2020-01-08,REGN,794.61
2020-01-08,BIIB,269.47
2020-01-08,ALNY,173.69
2020-01-08,BMRN,90.28
2020-01-08,SGEN,141.50
2020-01-08,INCY,62.35
2020-01-08,EXEL,20.16
2020-01-08,MRNA,139.78
2020-01-08,BNTX,111.82
2020-01-08,IONS,36.46
2020-01-08,SRPT,123.84
2020-01-08,RARE,36.80
2020-01-08,BLUE,4.22
2020-01-08,FOLD,15.31
2020-01-08,ACAD,20.20
2020-01-08,HALO,43.58
2020-01-08,KRTX,59.50
2020-01-08,IMVT,27.71
2020-01-08,ARWR,31.87
2020-01-08,PCVX,82.94
2020-01-08,BEAM,34.54
2020-01-08,EDIT,11.97
2020-01-09,AMGN,249.86
