Rank,Ticker,Composite_Score,Financial_Score,Clinical_Score,Catalyst_Score,Stage,Market_Cap_MM
1,NVAX,84.87,96.91,,50.00,early,
2,ALKS,84.32,90.91,,50.00,late,
3,BBOT,84.30,93.81,,50.00,early,
4,IMCR,83.43,98.97,,50.00,early,
5,SIGA,83.23,98.18,,50.00,late,
6,KROS,82.98,99.74,,50.00,early,
7,BIIB,82.11,88.14,,50.00,early,
8,INDV,81.26,86.60,,50.00,early,
9,CADL,80.77,98.45,,50.00,early,
10,CVAC,80.50,80.00,,50.00,mid,
11,MIRM,79.69,87.11,,50.00,early,
12,CRMD,79.64,84.02,,50.00,early,
13,ADMA,78.55,79.09,,50.00,late,
14,ACAD,78.32,87.27,,50.00,late,
15,FOLD,76.96,78.18,,50.00,late,
16,AKE,76.43,70.45,,50.00,late,
17,MEDP,76.03,73.71,,50.00,early,
18,PAHC,75.44,77.32,,50.00,early,
19,OPK,74.68,72.73,,50.00,late,
20,KRYS,74.66,80.41,,50.00,early,
21,TGTX,74.20,73.20,,50.00,early,
22,MBX,74.09,66.36,,50.00,late,
23,NAMS,73.82,75.45,,50.00,late,
24,ILMN,72.91,78.35,,50.00,early,
25,TECH,72.50,80.00,,50.00,late,
26,ONC,72.00,90.00,,50.00,late,
27,BIOA,70.95,72.16,,50.00,early,
28,TWST,70.44,57.73,,50.00,early,
29,AZN,70.28,52.58,,50.00,early,
30,ALVO,70.08,52.58,,50.00,early,
31,COLL,70.05,89.09,,50.00,late,
32,HRTX,69.38,62.37,,50.00,early,
33,APLS,68.83,100.00,,50.00,mid,
34,CCCC,68.50,53.33,,50.00,mid,
35,CAI,68.45,73.64,,50.00,late,
36,NBP,67.86,100.00,,50.00,late,
37,EBS,67.68,96.36,,50.00,late,
38,CMPS,67.63,43.81,,50.00,early,
39,GLUE,67.54,91.82,,50.00,late,
40,NAME,66.79,70.45,,50.00,late,
41,IMVT,66.47,58.76,,50.00,early,
42,JAZZ,66.32,65.45,,50.00,late,
