Rank,Ticker,Composite_Score,Financial_Score,Clinical_Score,Catalyst_Score,Stage,Market_Cap_MM
1,PGEN,12.50,0.00,,50.00,mid,
2,CRVS,14.46,4.55,,50.00,late,
3,ATAI,18.23,5.45,,50.00,late,
4,ABSI,20.77,1.82,,50.00,late,
5,SPRY,21.13,16.36,,50.00,late,
6,NUVB,21.41,10.91,,50.00,late,
7,CRSP,22.14,18.18,,50.00,late,
8,AGIO,22.64,15.45,,50.00,late,
9,INSM,25.98,0.52,,50.00,early,
10,SNDX,26.00,20.91,,50.00,late,
11,RVMD,26.14,1.03,,50.00,early,
12,SVRA,26.30,1.55,,50.00,early,
13,MNMD,26.46,2.06,,50.00,early,
14,TKNO,26.63,2.58,,50.00,early,
15,CGON,26.79,3.09,,50.00,early,
16,NUVL,26.95,3.61,,50.00,early,
17,OLMA,27.11,4.12,,50.00,early,
18,CLDX,27.44,5.15,,50.00,early,
19,ORIC,27.50,20.00,,50.00,late,
20,KYMR,27.77,6.19,,50.00,early,
21,CRNX,27.93,6.70,,50.00,early,
22,ACLX,28.09,7.22,,50.00,early,
23,APGE,28.25,7.73,,50.00,early,
24,DSGN,28.74,9.28,,50.00,early,
25,XNCR,28.90,9.79,,50.00,early,
26,RCUS,28.95,27.27,,50.00,late,
27,CYTK,29.06,10.31,,50.00,early,
28,ORKA,29.17,40.00,,50.00,mid,
29,ARQT,29.22,10.82,,50.00,early,
30,AVTR,29.55,11.86,,50.00,early,
31,ARDX,29.71,12.37,,50.00,early,
32,VTYX,29.88,12.89,,50.00,early,
33,XENE,30.04,13.40,,50.00,early,
34,ADPT,30.36,14.43,,50.00,early,
35,SYRE,30.50,13.33,,50.00,mid,
36,PTGX,30.52,14.95,,50.00,early,
37,MDGL,30.69,15.46,,50.00,early,
38,NRIX,30.85,15.98,,50.00,early,
39,CTNM,31.14,34.55,,50.00,late,
40,TNGX,31.17,17.01,,50.00,early,
41,NMRA,31.27,46.36,,50.00,late,
42,PCVX,31.34,17.53,,50.00,early,
43,PHAT,31.55,33.64,,50.00,late,
44,ACRS,31.59,25.45,,50.00,late,
45,EPRX,31.82,19.07,,50.00,early,
46,TRVI,31.99,19.59,,50.00,early,
47,LXEO,32.15,20.10,,50.00,early,
48,JANX,32.31,20.62,,50.00,early,
49,KYTX,32.47,21.13,,50.00,early,
50,CRBU,32.64,21.65,,50.00,early,
51,LYEL,32.77,41.82,,50.00,late,
52,RLAY,32.80,22.16,,50.00,early,
53,GLPG,32.86,58.18,,50.00,late,
54,PSNL,32.96,22.68,,50.00,early,
55,FTRE,33.12,23.20,,50.00,early,
56,OMER,33.23,0.00,,50.00,late,
57,SRRK,33.28,23.71,,50.00,early,
58,FULC,33.45,24.23,,50.00,early,
59,RGNX,33.61,24.74,,50.00,early,
60,LQDA,33.77,25.26,,50.00,early,
61,PACB,33.93,25.77,,50.00,early,
62,OCGN,34.10,26.29,,50.00,early,
63,URGN,34.26,26.80,,50.00,early,
64,ENTA,34.32,58.18,,50.00,late,
65,LFCR,34.42,27.32,,50.00,early,
66,PYXS,34.59,27.84,,50.00,early,
67,LCTX,34.75,28.35,,50.00,early,
68,LENZ,34.86,14.55,,50.00,late,
69,LEGN,34.86,58.18,,50.00,late,
70,MLYS,34.91,28.87,,50.00,early,
71,ABCL,35.04,21.82,,50.00,late,
72,TARS,35.55,19.09,,50.00,late,
73,BHVN,35.56,30.93,,50.00,early,
74,GRAL,35.68,9.09,,50.00,late,
75,QTRX,35.72,31.44,,50.00,early,
76,ESPR,35.86,30.91,,50.00,late,
77,EOLS,35.88,31.96,,50.00,early,
78,CATX,36.04,32.47,,50.00,early,
79,ATXS,36.21,32.99,,50.00,early,
80,ZBIO,36.37,33.51,,50.00,early,
81,OCUL,36.41,38.18,,50.00,late,
82,AARD,36.53,34.02,,50.00,early,
83,AVBP,36.70,34.54,,50.00,early,
84,REPL,36.86,35.05,,50.00,early,
85,OBIO,37.18,36.08,,50.00,early,
86,ARGX,37.23,58.18,,50.00,late,
87,CGEM,37.51,37.11,,50.00,early,
