ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
INCY,1,76.27,1.2312,0.0985,0.3319,-0.0406,2,1.4000,elite,def_mult_elite_1.40,none,late,large,True,29.94,60,-0.1486,83.63,88.54,100.00,57.00,2,Baker Bros Advisors; Casdin Capital,55.00,LOW,LOW,60.71,ev_cfo,0.8000,59.83,exceptional,Novartis; Eli Lilly,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
VTRS,2,71.90,0.9631,0.077,0.337,-0.018699,2,1.4000,elite,def_mult_elite_1.40,none,late,large,True,55.64,60,0.0418,50.00,50.00,0,50.00,0,,68.00,LOW,LOW,65.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
GILD,3,70.87,0.7293,0.0583,0.2352,-0.003050,2,1.470000,elite,def_mult_elite_1.40; def_mult_momentum_bonus_1.05,none,late,large,True,40.49,60,-0.0705,63.40,49.41,16.78,54.00,1,Sofinnova Investments,48.00,LOW,LOW,49.29,ev_cfo,0.8000,46.37,exceptional,Galapagos; Arcus Biosciences,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
NVAX,4,69.95,2.9423,0.2354,0.4814,-0.052020,2,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,none,late,small,True,46.22,60,-0.0280,58.90,45.84,15.38,50.00,4,,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
INVA,5,69.71,0.8521,0.0682,0.3385,-0.114901,1,1.4000,elite,def_mult_elite_1.40,none,early,small,True,24.87,60,-0.1764,50.00,50.00,0,50.00,0,,66.00,LOW,MODERATE,89.29,ev_cfo,0.8000,50,unknown,,50,,20.0,uncrowded,46.0,concentrated,0.80500,0.95,0.85,0.45,0.7
OPK,6,68.05,0.7508,0.0601,0.354,-0.078571,1,1.4000,elite,def_mult_elite_1.40,none,early,small,True,12.69,60,-0.2618,50.00,50.00,0,50.00,0,,53.00,LOW,LOW,85.64,ev_revenue,0.8000,50,unknown,,50,,90.0,moderate,60.0,focused,0.80500,0.95,0.85,0.45,0.7
ANIP,7,66.63,0.7082,0.0567,0.3545,-0.148497,2,1.4000,elite,def_mult_elite_1.40,none,late,small,True,15.72,60,-0.2406,50.00,50.00,0,51.43,5,Deep Track Capital,71.00,MEDIUM,MODERATE,75.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,76.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CHRS,8,66.54,2.5838,0.2067,0.9928,0.000000,2,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,micro,True,92.75,60,0.7180,98.00,80.39,39.31,50.00,0,,76.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
DNLI,9,66.36,1.781,0.1425,0.5691,-0.037647,3,1.081500,good,def_mult_momentum_bonus_1.05; def_mult_rsi_oversold_1.03,none,mid,mid,True,65.66,60,0.1160,50.00,50.00,0,55.00,2,Baker Bros Advisors; Palo Alto Investors,65.00,LOW,MODERATE,41.53,mcap_per_trial,0.8000,45.82,exceptional,Biogen,50,,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
ALKS,10,65.34,1.9698,0.1576,0.3674,-0.012666,2,1.0500,neutral,def_mult_momentum_bonus_1.05,none,late,mid,True,40.30,60,-0.0719,50.00,50.00,0,75.00,7,Baker Bros Advisors; EcoR1 Capital; Krensavage Asset Management; Opaleye Management; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,67.00,MEDIUM,MODERATE,77.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
