ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
IONS,1,81.19,1.4064,0.1125,0.316439,-0.007936,2,-0.007603,0.147424,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,59.09,60,0.1263,80.00,83.14,90.47,61.00,1,Baker Bros Advisors,71.00,LOW,MODERATE,17.33,ev_revenue,0.8000,72.35,exceptional,Biogen; Roche; AstraZeneca,64.0,FT; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.80
INCY,2,77.24,1.1971,0.0958,0.370019,-0.086506,2,-0.110916,-0.192823,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,39.30,60,-0.1486,86.00,90.20,100.00,71.00,2,Baker Bros Advisors; Casdin Capital,55.00,LOW,LOW,60.71,ev_cfo,0.8000,59.83,exceptional,Novartis; Eli Lilly,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87
UTHR,3,75.36,1.1174,0.0894,0.198455,-0.093361,2,-0.089026,-0.040556,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,46.87,60,-0.0435,55.00,42.78,14.27,80.00,4,Acuta Capital Partners; Krensavage Asset Management; Palo Alto Investors; Sofinnova Investments,60.00,LOW,LOW,70.71,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90
INVA,4,71.99,0.9124,0.073,0.326287,-0.114901,1,0.1955,0.293720,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,early,small,True,36.60,60,-0.1764,50.00,50.00,0,50.00,0,,66.00,LOW,MODERATE,89.29,ev_cfo,0.8000,50,unknown,,50,,20.0,uncrowded,46.0,concentrated,0.80500,0.95,0.85,0.45,0.48
DNLI,5,68.33,2.1792,0.1743,0.633556,-0.037647,3,0.7116,0.544666,1.081500,good,def_mult_momentum_bonus_1.05; def_mult_rsi_oversold_1.03,alpha,False,,none,mid,mid,True,58.35,60,0.1160,55.00,42.78,14.27,69.00,2,Baker Bros Advisors; Palo Alto Investors,65.00,LOW,MODERATE,41.53,mcap_per_trial,0.8000,45.82,exceptional,Biogen,50,,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.50
NVAX,6,68.29,2.9423,0.2354,0.664441,-0.052020,2,0.5142,-0.314845,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,alpha,False,,none,late,small,True,47.99,60,-0.0280,59.20,46.08,15.47,50.00,4,,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
CTNM,7,67.27,2.4024,0.1922,0.788204,0.000000,3,0.0801,0.461576,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05,alpha,False,,none,mid,small,True,74.82,60,0.3278,83.36,63.28,16.41,80.00,4,Baker Bros Advisors; Casdin Capital; Perceptive Advisors; RA Capital Management,47.00,LOW,LOW,63.56,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,78.0,diversified,0.83500,0.95,0.95,0.45,0.50
CHRS,8,65.92,2.5838,0.2067,0.973550,0.000000,2,0.2299,0.324592,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,micro,True,92.70,60,0.7180,98.67,80.93,39.54,50.00,0,,76.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
ALKS,9,65.39,1.781,0.1425,0.359808,-0.012666,2,0.4767,0.573443,1.0500,neutral,def_mult_momentum_bonus_1.05,alpha,False,,none,late,mid,True,44.83,60,-0.0719,50.00,50.00,0,80.00,7,Baker Bros Advisors; EcoR1 Capital; Krensavage Asset Management; Opaleye Management; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,67.00,MEDIUM,MODERATE,77.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
VNDA,10,63.89,1.9159,0.1533,1.016939,-0.090703,2,0.2900,1.130933,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,83.80,60,0.4860,80.00,81.27,84.24,64.29,4,Krensavage Asset Management,75.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.84
