ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
NVAX,1,68.46,,,,,,,,,none,late,small,True,46.22,60,-0.0280,58.90,45.84,15.38,57.20,4,,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
CHRS,2,65.56,,,,,,,,,none,late,micro,True,92.75,60,0.7180,98.00,80.39,39.31,50.00,0,,76.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
BIIB,3,63.70,,,,,,,,,none,late,large,True,40.05,60,-0.0737,88.00,72.42,36.05,62.60,10,,75.00,LOW,LOW,69.29,ev_cfo,0.8000,50,unknown,,73.8,ODD; BTD; FT,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
IRWD,4,63.51,,,,,,,,,none,late,small,True,92.75,60,2.1626,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,53.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CTNM,5,63.19,,,,,,,,,none,mid,small,True,92.75,60,0.3278,83.12,63.08,16.32,57.20,4,Baker Bros; RA Capital,47.00,LOW,LOW,64.55,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
EBS,6,63.09,,,,,,,,,none,late,small,True,38.82,60,-0.0828,50.00,50.00,0,50.00,0,,73.00,MEDIUM,MODERATE,79.29,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
VNDA,7,62.79,,,,,,,,,none,late,small,True,92.75,60,0.4860,80.00,73.10,57.00,53.60,4,,75.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
BEAM,8,62.72,,,,,,,,,none,early,mid,True,58.37,60,0.0620,50.00,50.00,0,50.00,0,,80.00,MEDIUM,HIGH,16.07,mcap_per_trial,0.8000,61.81,exceptional,Pfizer; Eli Lilly,76.2,ODD; BTD; RMAT,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
ENTA,9,62.11,,,,,,,,,none,mid,small,True,58.67,60,0.0642,50.00,50.00,0,56.00,4,,65.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,82.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
TBPH,10,61.69,,,,,,,,,none,late,small,True,63.47,60,0.0998,50.00,50.00,0,50.00,0,,79.00,MEDIUM,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,84.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
