ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
INCY,1,76.27,1.2312,0.0985,0.3319,-0.0406,2,0.2346,,1.4000,elite,def_mult_elite_1.40,none,late,large,True,29.94,60,-0.1486,83.63,88.54,100.00,57.00,2,Baker Bros Advisors; Casdin Capital,55.00,LOW,LOW,60.71,ev_cfo,0.8000,59.83,exceptional,Novartis; Eli Lilly,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
VTRS,2,71.90,0.9631,0.077,0.337,-0.018699,2,0.2793,,1.4000,elite,def_mult_elite_1.40,none,late,large,True,55.64,60,0.0418,50.00,50.00,0,50.00,0,,68.00,LOW,LOW,65.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
NVAX,3,69.95,2.9423,0.2354,0.4814,-0.052020,2,0.5142,,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,none,late,small,True,46.22,60,-0.0280,58.90,45.84,15.38,50.00,4,,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
CHRS,4,66.54,2.5838,0.2067,0.9928,0.000000,2,0.2299,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,micro,True,92.75,60,0.7180,98.00,80.39,39.31,50.00,0,,76.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
DNLI,5,66.36,1.7424,0.1394,0.5691,-0.037647,3,0.7116,,1.081500,good,def_mult_momentum_bonus_1.05; def_mult_rsi_oversold_1.03,none,mid,mid,True,65.66,60,0.1160,50.00,50.00,0,55.00,2,Baker Bros Advisors; Palo Alto Investors,65.00,LOW,MODERATE,41.53,mcap_per_trial,0.8000,45.82,exceptional,Biogen,50,,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
ALKS,6,65.34,1.9698,0.1576,0.3674,-0.012666,2,0.4767,,1.0500,neutral,def_mult_momentum_bonus_1.05,none,late,mid,True,40.30,60,-0.0719,50.00,50.00,0,75.00,7,Baker Bros Advisors; EcoR1 Capital; Krensavage Asset Management; Opaleye Management; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,67.00,MEDIUM,MODERATE,77.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
VNDA,7,63.56,2.0988,0.1679,1.0382,-0.090703,2,0.2900,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,92.75,60,0.4860,80.00,73.10,57.00,53.90,4,Krensavage Asset Management,75.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CTNM,8,63.26,2.2767,0.1821,0.783,0.000000,3,0.0801,,1.00,neutral,def_skip_not_elite_vol,none,mid,small,True,92.75,60,0.3278,83.12,63.08,16.32,60.00,4,Baker Bros Advisors; Casdin Capital; Perceptive Advisors; RA Capital Management,47.00,LOW,LOW,63.56,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
IRWD,9,63.26,2.4024,0.1922,1.2561,-0.046382,2,0.2723,,0.99813000,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,none,late,small,True,92.75,60,2.1626,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,53.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
DAWN,10,62.81,1.8671,0.1494,0.8040,-0.000810,2,0.3713,,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,92.75,60,0.4738,50.00,50.00,0,53.00,1,Deerfield Management,54.00,MEDIUM,LOW,46.49,mcap_per_trial,0.8000,50,unknown,,69.8,BTD; FT,75.0,uncrowded,80.0,diversified,0.83500,0.95,0.95,0.45,0.7
BEAM,11,62.36,2.0301,0.1624,0.7330,-0.182293,1,0.6600,,1.00,neutral,,none,early,mid,True,58.37,60,0.0620,50.00,50.00,0,50.00,0,,80.00,MEDIUM,HIGH,15.00,mcap_per_trial,0.8000,61.81,exceptional,Pfizer; Eli Lilly,76.2,ODD; BTD; RMAT,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
ALT,12,61.85,1.6096,0.1288,0.8891,-0.070113,2,0.3525,,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,92.75,60,0.3068,50.00,50.00,0,50.00,2,,56.00,MEDIUM,MODERATE,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ENTA,13,61.84,1.9159,0.1533,0.5086,-0.245697,3,0.2510,,1.00,neutral,def_skip_not_elite_vol,none,mid,small,True,58.67,60,0.0642,50.00,50.00,0,54.29,4,Krensavage Asset Management,65.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,82.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
TBPH,14,61.49,1.8223,0.1458,0.5264,-0.073771,2,0.3946,,1.00,neutral,def_skip_vol_too_high,none,late,small,True,63.47,60,0.0998,50.00,50.00,0,50.00,0,,79.00,MEDIUM,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,84.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
XNCR,15,61.43,1.781,0.1425,0.5714,-0.305402,3,0.6238,,1.00,neutral,def_warn_drawdown_gt_30pct,none,mid,small,True,36.83,60,-0.0975,98.00,80.39,39.31,63.80,6,Baker Bros Advisors; Deep Track Capital; EcoR1 Capital; RTW Investments,74.00,MEDIUM,HIGH,77.12,mcap_per_trial,0.8000,35.62,strong,Janssen,64.8,ODD; FT,100.0,highly_crowded,82.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
BIIB,16,61.29,1.7063,0.1365,0.3103,-0.079309,2,0.4030,,1.00,neutral,,none,late,large,True,40.05,60,-0.0737,88.00,72.42,36.05,66.80,10,Krensavage Asset Management; Logos Global Management; Palo Alto Investors; Sectoral Asset Management; Suvretta Capital Management; Tang Capital Partners,75.00,LOW,LOW,69.29,ev_cfo,0.8000,50,unknown,,73.8,ODD; BTD; FT,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
AMGN,17,61.25,1.6723,0.1338,0.2777,-0.019824,2,0.4389,,1.00,neutral,,none,late,large,True,39.56,60,-0.0773,80.00,81.02,83.41,51.43,5,Sectoral Asset Management,61.00,LOW,LOW,50.71,ev_cfo,0.8000,50,unknown,,73.8,ODD; BTD; FT,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
EBS,18,61.00,2.1792,0.1743,1.0204,-0.160072,2,0.2778,,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,none,late,small,True,38.82,60,-0.0828,50.00,50.00,0,50.00,0,,73.00,MEDIUM,MODERATE,79.29,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
ESPR,19,60.92,1.6401,0.1312,0.7805,-0.161765,2,0.2681,,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,62.30,60,0.0911,50.00,50.00,0,55.71,5,Logos Global Management,56.00,LOW,MODERATE,56.93,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
ARVN,20,60.65,1.5804,0.1264,0.6174,-0.046256,3,0.5162,,1.00,neutral,,none,mid,small,True,88.46,60,0.2699,50.00,50.00,0,54.00,2,Opaleye Management; Tang Capital Partners,76.00,LOW,LOW,90.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.7
MBX,21,59.59,1.4755,0.118,0.9974,-0.179416,3,0.3023,,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,mid,small,True,92.75,60,0.7197,50.00,50.00,0,67.00,6,Baker Bros Advisors; Cormorant Asset Management; EcoR1 Capital; Opaleye Management; Orbimed Advisors; Rock Springs Capital Management,64.00,LOW,LOW,34.75,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,75.0,diversified,0.83500,0.95,0.95,0.45,0.7
NVCR,22,59.34,1.5526,0.1242,0.5194,-0.122394,2,0.5639,,1.00,neutral,,none,late,small,True,22.93,60,-0.1900,98.67,80.93,39.54,54.00,1,Palo Alto Investors,57.00,LOW,MODERATE,84.65,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
HRTX,23,58.63,1.5259,0.1221,0.4900,-0.095369,2,0.5107,,1.00,neutral,,none,late,micro,True,28.33,60,-0.1520,50.00,50.00,0,54.00,1,Baker Bros Advisors,87.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CGEM,24,58.39,1.4064,0.1125,1.1117,-0.064347,1,0.4931,,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,early,small,True,88.32,60,0.2689,94.55,85.96,65.93,54.00,1,RTW Investments,63.00,MEDIUM,MODERATE,55.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,63.0,focused,0.87500,0.95,0.95,0.65,0.7
ACRS,25,58.16,1.3434,0.1075,1.5686,-0.145695,2,0.2760,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,92.75,60,0.5373,50.00,50.00,0,54.30,6,Logos Global Management; Palo Alto Investors; Rock Springs Capital Management,57.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
UTHR,26,57.93,1.0727,0.0858,0.2791,-0.0118,2,0.3372,,1.1000,good,def_mult_good_1.10,none,late,large,True,44.12,60,-0.0435,50.00,50.00,0,66.00,4,Acuta Capital Partners; Krensavage Asset Management; Palo Alto Investors; Sofinnova Investments,60.00,LOW,LOW,70.71,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
UPB,27,57.52,1.4287,0.1143,0.6702,-0.048006,3,0.5630,,1.00,neutral,,none,mid,small,True,77.62,60,0.1938,86.00,70.83,35.43,58.40,4,Great Point Partners; Samsara BioCapital,57.00,LOW,MODERATE,29.66,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.87500,0.95,0.95,0.65,0.7
IONS,28,57.32,1.3848,0.1108,0.2985,-0.0423,2,0.5196,,1.00,neutral,,none,late,large,True,67.05,60,0.1263,80.00,74.96,63.20,54.00,1,Baker Bros Advisors,71.00,LOW,MODERATE,17.33,ev_revenue,0.8000,72.35,exceptional,Biogen; Roche; AstraZeneca,64.8,ODD; FT,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
