ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_return,catalyst_score,catalyst_effective_score,catalyst_event_count,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_pct,short_interest_days_to_cover,pos_score,pos_confidence,partnership_score,partnership_strength,fda_designation_score,fda_designations,competitive_intensity_score,competitive_intensity_level,pipeline_diversity_score,pipeline_diversity_status,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
NVAX,1,68.46,,,,,,,,,none,late,small,True,46.22,60,,,,,,4,,,,,,,56.75,exceptional,58,,100.0,,86.0,,0.83000,0.95,0.95,0.45,0.7
CHRS,2,65.56,,,,,,,,,none,late,micro,True,92.75,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,86.0,,0.87500,0.95,0.95,0.65,0.7
BIIB,3,63.70,,,,,,,,,none,late,large,True,40.05,60,,,,,,10,,,,,,,50,unknown,73.8,,75.0,,88.0,,0.87000,0.95,0.95,0.65,0.7
IRWD,4,63.51,,,,,,,,,none,late,small,True,92.75,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,80.0,,0.83500,0.95,0.95,0.45,0.7
CTNM,5,63.19,,,,,,,,,none,mid,small,True,92.75,60,,,,,,4,Baker Bros; RA Capital,,,,,,50,unknown,50,,90.0,,78.0,,0.83500,0.95,0.95,0.45,0.7
EBS,6,63.09,,,,,,,,,none,late,small,True,38.82,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,75.0,,0.83000,0.95,0.95,0.45,0.7
VNDA,7,62.79,,,,,,,,,none,late,small,True,92.75,60,,,,,,4,,,,,,,50,unknown,50,,75.0,,88.0,,0.83500,0.95,0.95,0.45,0.7
BEAM,8,62.72,,,,,,,,,none,early,mid,True,58.37,60,,,,,,0,,,,,,,61.81,exceptional,76.2,,75.0,,75.0,,0.83000,0.95,0.95,0.45,0.7
ENTA,9,62.11,,,,,,,,,none,mid,small,True,58.67,60,,,,,,4,,,,,,,50,unknown,50,,90.0,,82.0,,0.83000,0.95,0.95,0.45,0.7
TBPH,10,61.69,,,,,,,,,none,late,small,True,63.47,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,84.0,,0.83000,0.95,0.95,0.45,0.7
AMGN,11,61.57,,,,,,,,,none,late,large,True,39.56,60,,,,,,5,,,,,,,50,unknown,73.8,,75.0,,88.0,,0.87000,0.95,0.95,0.65,0.7
DNLI,12,61.36,,,,,,,,,none,mid,mid,True,65.66,60,,,,,,2,Baker Bros,,,,,,45.82,exceptional,50,,75.0,,75.0,,0.83000,0.95,0.95,0.45,0.7
XNCR,13,61.29,,,,,,,,,none,mid,small,True,36.83,60,,,,,,6,Baker Bros,,,,,,35.62,strong,64.8,,100.0,,82.0,,0.87000,0.95,0.95,0.65,0.7
ESPR,14,61.27,,,,,,,,,none,late,small,True,62.30,60,,,,,,5,,,,,,,50,unknown,50,,100.0,,86.0,,0.83000,0.95,0.95,0.45,0.7
ALT,15,61.20,,,,,,,,,none,late,small,True,92.75,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,88.0,,0.83500,0.95,0.95,0.45,0.7
ARVN,16,60.36,,,,,,,,,none,mid,small,True,88.46,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,64.0,,0.83500,0.95,0.95,0.45,0.7
BMRN,17,59.17,,,,,,,,,none,late,large,True,19.81,60,,,,,,0,,,,,,,43.75,strong,69.0,,75.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
NVCR,18,59.15,,,,,,,,,none,late,small,True,22.93,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,83.0,,0.87500,0.95,0.95,0.65,0.7
HRTX,19,58.89,,,,,,,,,none,late,micro,True,28.33,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,75.0,,88.0,,0.83500,0.95,0.95,0.45,0.7
ANRO,20,58.70,,,,,,,,,none,late,small,True,92.75,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,68.0,,0.87500,0.95,0.95,0.65,0.7
MBX,21,58.37,,,,,,,,,none,mid,small,True,92.75,60,,,,,,6,Baker Bros,,,,,,50,unknown,50,,90.0,,75.0,,0.83500,0.95,0.95,0.45,0.7
UPB,22,57.77,,,,,,,,,none,mid,small,True,77.62,60,,,,,,4,,,,,,,50,unknown,50,,75.0,,75.0,,0.87500,0.95,0.95,0.65,0.7
CGEM,23,57.52,,,,,,,,,none,early,small,True,88.32,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,63.0,,0.87500,0.95,0.95,0.65,0.7
JAZZ,24,57.41,,,,,,,,,none,late,large,True,49.88,60,,,,,,4,,,,,,,50,unknown,50,,75.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
IONS,25,57.11,,,,,,,,,none,late,large,True,67.05,60,,,,,,1,Baker Bros,,,,,,72.35,exceptional,64.8,,75.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
ALKS,26,56.84,,,,,,,,,none,late,mid,True,40.30,60,,,,,,7,Baker Bros,,,,,,50,unknown,50,,100.0,,80.0,,0.83000,0.95,0.95,0.45,0.7
EWTX,27,56.30,,,,,,,,,none,mid,mid,True,92.75,60,,,,,,9,Baker Bros; RA Capital,,,,,,50,unknown,50,,75.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
QURE,28,56.27,,,,,,,,,none,early,small,True,7.25,60,,,,,,5,RA Capital,,,,,,50,unknown,50,,75.0,,80.0,,0.83500,0.95,0.95,0.45,0.7
COLL,29,55.81,,,,,,,,,none,late,small,True,49.68,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,78.0,,0.83000,0.95,0.95,0.45,0.7
INCY,30,54.68,,,,,,,,,none,late,large,True,29.94,60,,,,,,2,Baker Bros,,,,,,59.83,exceptional,69.0,,100.0,,88.0,,0.87000,0.95,0.95,0.65,0.7
