Rank,Ticker,Composite,Clinical,Financial,Catalyst,Momentum,Valuation,ShortInterest,PoS,Cohort
1,NVAX,68.25,79.1,80.0,49.2,45.5,74.0,76.0,87.0,late
2,CHRS,64.84,70.1,72.2,53.1,75.7,74.0,76.0,82.3,late
3,BEAM,64.21,80.0,69.4,53.9,55.0,10.8,80.0,93.6,early
4,BIIB,63.55,76.7,71.0,63.3,38.1,61.6,75.0,100.0,late
5,IRWD,63.01,73.4,77.2,32.7,75.7,51.8,57.0,78.0,late
6,CTNM,62.49,78.3,62.1,55.3,75.7,64.3,47.0,63.6,mid
7,EBS,62.39,72.2,78.6,32.7,36.6,67.0,73.0,74.0,late
8,AMGN,61.81,80.0,68.7,55.7,37.5,50.0,61.0,100.0,late
9,ENTA,61.2,80.0,63.1,37.0,55.2,74.0,65.0,85.6,mid
10,XNCR,61.18,73.3,71.0,53.0,34.2,69.8,74.0,26.9,mid
11,DNLI,61.08,74.5,66.3,40.7,59.4,45.9,65.0,63.6,mid
12,ESPR,61.0,80.0,71.0,32.7,57.4,54.7,56.0,75.6,late
13,DAWN,60.89,69.6,71.0,32.7,75.7,43.6,54.0,72.8,late
14,ARVN,60.7,70.8,71.0,37.0,73.1,74.0,76.0,26.9,mid
15,ALT,60.6,71.5,69.0,32.7,75.7,74.0,56.0,87.0,late
16,BMRN,58.42,67.7,74.8,32.7,13.8,63.4,60.0,100.0,late
17,ANRO,58.32,66.3,59.4,53.0,75.7,71.2,72.0,82.3,late
18,HRTX,58.22,71.0,64.4,32.7,24.0,74.0,87.0,82.3,late
19,CGEM,58.01,67.7,60.5,53.9,73.0,58.1,63.0,48.9,early
20,UPB,57.5,67.0,56.7,57.2,66.6,32.3,57.0,72.0,mid
